Visit ID,Visit Date,Patient ID,Diagnosis Category,Diagnosis Sub Category,Treatment Category,Treatment Sub Category,New Patient,Consulting Physician,Patient Name,Patient Gender,Patient Age Range,Patient Blood Type,Patient Insurance Number,Patient Phone,Patient Address,Patient Occupation,Patient Emergency Contact
VCM817273,2017-03-04,PRM547974,Mental,Eating Disorder,Mental Health Treatment,Partial Hospitalization,True,Dr. James Barber,Emily Jones,Female,10-20,B-,H458683495,016621076270,"Harm-Zahn-Allee 0/3
33608 Hoyerswerda",Tourism officer,"Chris Cochran, 016817998653."
VOK326824,2017-03-05,PRK545468,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,False,Dr. Michelle Lamb,Alexandra Moreno,Male,0-10,B-,D854649681,015575098748,"Wielochstr. 39
10006 Staffelstein",Patent attorney,"Jennifer Pittman, 016764565450."
VDZ347570,2017-03-05,PDR254868,Infectious,Sexually Transmitted Disease,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Shelly Hunt,Jacob Guerra,Other,0-10,A-,P413987291,015623161837,"Krokergasse 19
99661 Bad Langensalza","Clinical scientist, histocompatibility and immunogenetics","Jason Morgan, 017850692185."
VOS333672,2017-03-05,PKM005477,Central Nervous System/ Neuromuscular,Brain Tumor,Diagnostic/Physician Evaluation,Specialty Consultation Referral,True,Dr. Shelly Hunt,Aaron Carlson,Other,0-10,B-,J175353237,016398971641,"Pius-Lindner-Allee 64
16172 Potsdam","Designer, industrial/product","Joshua Williamson, 015178650530."
VMK560737,2017-03-05,PJR372266,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. Michelle Lamb,Teresa Sparks,Male,51-64,AB+,Private,015639839701,"Bohnbachstr. 62
35729 Vohenstrauß","Teacher, music","Matthew Steele, 016725569373."
VIG451673,2017-03-05,PTE948662,Skin,Eczema,Pharmacy/Prescription Drugs,Skin Treatment,True,Dr. Shelly Hunt,Andrew Lee,Female,51-64,A+,E743923661,017317492141,"Textorweg 1
09202 Beeskow",Financial adviser,"Andrew Osborne, 017706663089."
VXC015037,2017-03-05,PAO938414,Respiratory System,Asthma,Pharmacy/Prescription Drugs,Treatment for Allergies,True,Dr. Eddie Young,Valerie Snow,Male,41-50,O+,F296304598,016653932379,"Mentzelring 94
06155 Torgau",Event organiser,"Stephen Edwards, 017097722397."
VIR111659,2017-03-05,PJR705418,Digestive System/ Gastrointestinal,GERDs/ Reflux Disorders,Durable Medical Equipment,Special Bed,True,Dr. Eddie Young,Colleen Casey,Other,0-10,AB-,E653906367,015629616984,"Dorle-Gieß-Straße 585
70951 Zeulenroda",Medical secretary,"Nicholas Crawford, 016316316725."
VUU481014,2017-03-05,PHO675761,Cardiac/Circulatory,Cardiac/Heart problem,"Diagnostic Imaging, Screening and Testing",CT Scan,True,Dr. Michelle Lamb,Tara Rogers,Female,41-50,B-,O587792733,017681641307,"Geißlergasse 6/9
46939 Perleberg",Sales executive,"Patrick Long, 015075702329."
VBT098025,2017-03-05,PYO844268,Orthopedic/ Musculoskeletal,Hip Problem,Rehabilitation Services - Outpatient,Physical Therapy,True,Dr. Jerry Daniels,Melinda Reed,Male,51-64,B-,A925616600,015448235567,"Dobesring 9/7
93763 Klötze","Production assistant, radio","Jason Mcdowell, 017940945292."
VYZ731457,2017-03-05,PZW541916,Prevention/Good Health,,"Diagnostic Imaging, Screening and Testing",Mammography,False,Dr. Jerry Daniels,Debra Cole,Female,41-50,B-,C295256646,016552189268,"Bernfried-Fritsch-Platz 383
30768 Stade",Barrister,"Jennifer Yoder, 017390349876."
VDC356301,2017-03-05,PYK914954,Cancer,Prostate Cancer,"Diagnostic Imaging, Screening and Testing",Ultrasound,True,Dr. James Barber,Mike Cook,Male,51-64,B-,P678235419,016352137449,"Henckstr. 201
80967 Kronach",Personnel officer,"Jason Chavez, 015094722697."
VVK974610,2017-03-05,PNP273262,Cancer,Skin Cancer,Cancer Treatment,Out-of-Network/Academic Center Referral,False,Dr. Shelly Hunt,Paul Reyes,Female,51-64,B+,F975112557,016251914249,"Schmiedtallee 8/5
56041 Chemnitz",Ceramics designer,"Dr. Christopher Pennington DDS, 015314134358."
VLQ322570,2017-03-05,PSC498474,Skin,Psoriasis,Pharmacy/Prescription Drugs,Skin Treatment,True,Dr. James Barber,Brian Mullins,Male,51-64,AB+,N466301700,016414636009,"Dörrstraße 3
38693 Viersen","Engineer, maintenance (IT)","Angela Morales, 017768658379."
VVA003123,2017-03-05,PSK727434,Central Nervous System/ Neuromuscular,Multiple Sclerosis,Pharmacy/Prescription Drugs,Botox Injection,False,Dr. Jerry Daniels,Richard Marshall,Male,41-50,O-,E267460741,016666755978,"Gunpfstraße 97
90842 Dresden","Scientist, forensic","Joseph Owens, 016152734821."
VMQ111713,2017-03-06,PQD408125,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Alexandria Gaines,Nancy Henry,Male,0-10,B-,R387879937,016797325144,"Rognerstr. 31
33631 Regensburg",Applications developer,"William Mullen, 016817508724."
VXN124884,2017-03-06,PQC712624,Cancer,Brain Cancer,"Diagnostic Imaging, Screening and Testing",Lab Work,False,Dr. Jerry Daniels,Karina Kim,Male,51-64,AB-,D436463480,016378682077,"Trubinweg 5/5
92369 Güstrow",Oceanographer,"Jose Moreno, 015409390287."
VXA572724,2017-03-06,POK533262,Mental,Anxiety,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Michelle Lamb,Brandon Marsh,Male,10-20,B+,X728245608,016620814746,"Janett-Dehmel-Allee 3
16551 Seelow","Accountant, chartered certified","Chris Mcdonald, 015516130775."
VYW781350,2017-03-06,PFB189716,Cardiac/Circulatory,Varicose Veins,Electrical/ Thermal/ Radiofreq. Interventions,Radiofrequency Ablation,False,Dr. Eddie Young,Terri Bowers,Female,31-40,B+,F839201442,015882148449,"Betty-Schweitzer-Ring 5/8
09509 Pasewalk",Food technologist,"Billy Bell, 017145688389."
VJZ712304,2017-03-06,PHT951325,Orthopedic/ Musculoskeletal,,"Diagnostic Imaging, Screening and Testing",MRI,True,Dr. Jerry Daniels,Nicholas Hernandez,Female,51-64,AB-,Private,015169143338,"Edelbert-Berger-Straße 33
59601 Höxter",Ranger/warden,"Adam Chandler, 015809041483."
VSU381654,2017-03-06,PXJ645389,Orthopedic/ Musculoskeletal,Joint Problem,Electrical/ Thermal/ Radiofreq. Interventions,Radiofrequency Ablation,False,Dr. Shelly Hunt,Katelyn Gonzales,Male,51-64,B+,B122017920,017310550194,"Luigi-Kostolzin-Allee 8
01828 Soltau",Jewellery designer,"Renee Riggs, 017599145714."
VWW293553,2017-03-06,PKA063125,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Alcohol Rehabilitation Program,True,Dr. Michelle Lamb,Savannah Edwards,Male,51-64,AB-,C977348534,015094087804,"Gottlob-Atzler-Straße 8/6
78157 Görlitz","Engineer, technical sales","Sharon Mendoza, 015904821840."
VAA498255,2017-03-06,PXZ071696,Central Nervous System/ Neuromuscular,,Pharmacy/Prescription Drugs,Non-FDA Approved Use,True,Dr. Jerry Daniels,Randy Nixon,Male,51-64,AB-,W122486685,015745329007,"Fechnerstr. 7/6
46937 Kehl",Copy,"Brenda Murray, 015155112467."
VOF972303,2017-03-06,PAU605836,Mental,Depression,Acute Medical Services - Inpatient,Admission,True,Dr. Jerry Daniels,Travis Webb,Female,10-20,B+,Private,017572509179,"Ackermannring 498
01860 Aurich",Chief Marketing Officer,"Tammy Flowers, 017535396563."
VUI658797,2017-03-06,PLR445852,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Alexandria Gaines,Jessica Frey,Male,51-64,O-,Private,016396853148,"Binnerplatz 4/4
07068 Parsberg","Therapist, occupational","Lydia Mason MD, 017006349905."
VED687997,2017-03-06,PIU274239,Morbid Obesity,,Reconstructive/Plastic Surgery,Panniculectomy,False,Dr. Shelly Hunt,David Brown,Female,31-40,O+,J527210498,016241418362,"Ortmannstr. 3
74549 Konstanz","Engineer, biomedical","James Jarvis, 017181770033."
VHX143110,2017-03-06,PDB455996,Immunologic,Fibromyalgia,Alternative Treatment,Biofeedback,False,Dr. Shelly Hunt,Christopher Williams,Female,51-64,AB+,Private,016951975501,"Fiebigplatz 5
26886 Fürstenwalde","Chemist, analytical","James Farrell, 015303912796."
VWX329262,2017-03-06,PTY324114,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Orthopedic,,False,Dr. Eddie Young,Wendy Anderson,Female,41-50,AB+,Private,016247249997,"Irmhild-Wulf-Straße 5/5
34337 Bernburg",Careers adviser,"Dustin Johnson, 017121672817."
VNW513346,2017-03-06,PUM623452,Endocrine/ Metabolic,Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,False,Dr. Eddie Young,Austin Hardin,Female,51-64,A-,Q870125825,015967174694,"Schäferring 54
36468 Geithain","Psychotherapist, dance movement","Colton Reed, 017319487519."
VWX203722,2017-03-06,PEX883546,Cardiac/Circulatory,Chest pain,"Diagnostic Imaging, Screening and Testing",MRI,True,Dr. James Barber,Michael Andersen,Male,21-30,A-,Z330021609,016955655465,"Wulf-Lindau-Gasse 5
48691 Stollberg","Scientist, marine","Roger Diaz, 016746492873."
VHM339077,2017-03-06,PJY102308,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,False,Dr. Eddie Young,Rebecca Alexander,Male,0-10,O+,Y429133911,017127713665,"Weihmannallee 0
91845 Rehau",Youth worker,"Sarah Mcdonald, 015647054531."
VOA297222,2017-03-06,PJZ619399,Central Nervous System/ Neuromuscular,,Pharmacy/Prescription Drugs,Botox Injection,True,Dr. Alexandria Gaines,Troy Carlson,Female,21-30,B+,A347726637,016757688284,"Malte-Stey-Weg 16
55263 Regensburg","Engineer, electrical","Joshua Lawrence, 017595643209."
VTT812820,2017-03-06,PWV154276,Mental,Depression,Electrical/ Thermal/ Radiofreq. Interventions,,False,Dr. James Barber,Melissa Diaz,Female,41-50,B-,U332764771,016859659231,"Wagenknechtplatz 169
58632 Neubrandenburg",Manufacturing engineer,"Taylor Smith, 015732813003."
VDN304475,2017-03-06,PJL814903,Cancer,Pancreas Cancer,Cancer Treatment,Radiation Oncology,True,Dr. James Barber,Shannon Escobar,Female,51-64,O-,D483029218,015082922214,"Florence-Kohl-Platz 49
91350 Illertissen",IT trainer,"Paul Grant, 016174495128."
VXX109927,2017-03-07,PDK637689,Prevention/Good Health,,"Diagnostic Imaging, Screening and Testing",Mammography,True,Dr. Jerry Daniels,Patricia Cortez,Female,51-64,AB+,I241594398,016301750669,"Barthstr. 9/7
69374 Ravensburg",Minerals surveyor,"Victoria Johnson, 015045621196."
VUX065991,2017-03-07,PMS675487,Cardiac/Circulatory,Varicose Veins,Electrical/ Thermal/ Radiofreq. Interventions,Radiofrequency Ablation,True,Dr. Jerry Daniels,Melissa Decker,Female,51-64,B-,Private,017659545616,"Junkstr. 673
06743 Bad Liebenwerda","Engineer, civil (contracting)","Douglas Campbell, 015980097543."
VML293436,2017-03-07,PDW980983,"Ears, Nose, Throat",Nasal Airway Obstruction,"Ear, Nose and Throat Procedures",Septoplasty,True,Dr. James Barber,Diana Alexander,Male,31-40,B-,W966130721,015100670646,"Melita-Schleich-Weg 3/5
37587 Forst","Librarian, public","Monica Coleman, 015024778402."
VNX522564,2017-03-07,PDS338426,Endocrine/ Metabolic,Diabetes,Pharmacy/Prescription Drugs,Non-FDA Approved Use,False,Dr. James Barber,Vicki Payne,Male,31-40,AB-,Y767209076,015417509116,"Ingo-Häring-Ring 08
39036 Hofgeismar",Astronomer,"Jason Mcdonald, 016633434844."
VBM314004,2017-03-07,PPW504829,Mental,Substance Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Shelly Hunt,Scott Dixon,Male,21-30,A-,G366773559,017809123816,"Franca-Neuschäfer-Weg 26
75953 Klötze",Comptroller,"Jeffrey Evans, 017058317006."
VJW025632,2017-03-07,PEX883546,Mental,Substance Abuse/ Addiction,Mental Health Treatment,Drug Rehabilitation Program,False,Dr. Alexandria Gaines,Michael Andersen,Male,21-30,A-,Z330021609,016955655465,"Wulf-Lindau-Gasse 5
48691 Stollberg","Scientist, marine","Roger Diaz, 016746492873."
VHT226204,2017-03-07,PQG011208,Skin,Rash,Pharmacy/Prescription Drugs,Treatment for Allergies,False,Dr. James Barber,Christopher Allen,Female,41-50,AB+,T724472092,017131732027,"Manuela-Kostolzin-Gasse 7/7
83184 Bremen",Call centre manager,"Allen Huang, 015077552808."
VRS259050,2017-03-07,PLA164560,Endocrine/ Metabolic,Thyroid Problems,"Diagnostic Imaging, Screening and Testing",Ultrasound,True,Dr. Shelly Hunt,Marie Johnson,Female,21-30,B+,M331500235,016496734210,"Hanne-Lore-Hentschel-Ring 9
15699 Rosenheim","Administrator, education","Troy Smith, 016851014203."
VVS827971,2017-03-07,PCK354967,Mental,Autism,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Alexandria Gaines,Tamara Escobar,Male,0-10,O+,Y418404498,017912138729,"Andersgasse 1
02244 Zossen",Textile designer,"Angela Parrish, 017912599476."
VRM848220,2017-03-07,PRD464127,Orthopedic/ Musculoskeletal,,Pharmacy/Prescription Drugs,Botox Injection,False,Dr. Eddie Young,Natasha Moreno,Female,41-50,AB+,X189930476,017927077171,"Bekir-Lorch-Platz 59
92296 Soltau",Arts development officer,"Robin Anderson, 017977166363."
VZR460851,2017-03-08,PRB727943,Central Nervous System/ Neuromuscular,Headache/Migraine,Pharmacy/Prescription Drugs,Botox Injection,True,Dr. Michelle Lamb,Tracy Rivers,Other,0-10,AB-,Private,017953002706,"Cosimo-Geisler-Gasse 1
24443 Haldensleben",Adult nurse,"Todd Jones, 016973288922."
VAM521125,2017-03-08,PUL244330,Cancer,Lung Cancer,Cancer Treatment,Chemotherapy,True,Dr. Eddie Young,Paul Ayala,Male,41-50,A+,Y588618644,015022720890,"Rocco-Gumprich-Ring 8/2
67666 Büsingen am Hochrhein",Paramedic,"Sandra Charles, 016413378810."
VBX867237,2017-03-08,PYL616185,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Alexandria Gaines,Timothy Smith,Male,51-64,AB+,N104204527,015218875847,"Valeska-Zänker-Gasse 140
59041 Gardelegen",Haematologist,"Kelly Avery, 017545556639."
VMP556594,2017-03-08,PUK932584,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Jerry Daniels,James Fox,Female,41-50,A-,W683335618,017184018163,"Klappweg 4/9
05375 Moers",Careers information officer,"Chelsea Mullins, 017038866599."
VNH415057,2017-03-08,PGX195625,Cancer,Prostate Cancer,"Diagnostic Imaging, Screening and Testing",CT Scan,True,Dr. Jerry Daniels,Jamie Shaffer,Male,51-64,A-,Z987823264,017538020329,"Nurten-Renner-Weg 5/1
00998 Bitterfeld",Analytical chemist,"Justin Horton, 016786461316."
VVX750967,2017-03-08,PTX778372,Genitourinary/ Kidney,Erectile Dysfunction,Pharmacy/Prescription Drugs,Treatment for Impotence,True,Dr. Alexandria Gaines,Amber Ward,Male,41-50,B-,S210475258,015322886990,"Biggengasse 4
49076 Witzenhausen","Sales professional, IT","Derrick Brown, 017138007926."
VFN859573,2017-03-08,PWX852120,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Alexandria Gaines,Elizabeth Walker,Female,31-40,O-,X418365945,016820064893,"Ivana-Keudel-Gasse 314
82658 Gunzenhausen",Fish farm manager,"Andrea Donaldson, 016327979151."
VWW664626,2017-03-08,POD421769,Orthopedic/ Musculoskeletal,Back Pain,Pain Management,Epidural Injection,False,Dr. Eddie Young,Dominic Ford,Male,31-40,A-,C230504975,017174172546,"Melissa-Davids-Straße 48
51018 Gransee",Copy,"Amy Lara, 017329864379."
VHW597854,2017-03-08,PVZ086470,Orthopedic/ Musculoskeletal,Joint Problem,Orthopedic,Hip Replacement,True,Dr. James Barber,Thomas Gutierrez,Female,41-50,AB-,D148741961,016664546863,"Ullrichweg 6
96543 Viersen",Health and safety inspector,"Andrea Sexton, 017867742549."
VOA028976,2017-03-08,PFP135863,Genitourinary/ Kidney,Male Genital Disorder,Pharmacy/Prescription Drugs,Analgesics,True,Dr. Michelle Lamb,Melissa Moore,Male,31-40,B-,B144250035,016174058144,"Herbert-Mühle-Allee 5
94604 Wiedenbrück",Radiation protection practitioner,"James Powell, 017973665584."
VXF478160,2017-03-08,PCZ098738,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Shelly Hunt,Michael Davila,Male,51-64,B+,V138729290,017345788926,"Anto-Roht-Allee 7/1
66017 Olpe",Press photographer,"Daniel Choi Jr., 017983100912."
VXS072395,2017-03-08,PRM334034,Orthopedic/ Musculoskeletal,Osteoarthritis,Pharmacy/Prescription Drugs,Arthritis Medications,False,Dr. Jerry Daniels,Christopher Johnston,Female,51-64,B+,G211631391,016427049496,"Stadelmanngasse 5/3
15817 Regensburg","Engineer, structural","Suzanne Herrera, 016332161671."
VBD467647,2017-03-08,PCE352752,Cardiac/Circulatory,Stroke/ CVA,Rehabilitation Services - Skilled Nursing Facility - Inpatient,Inpatient Transfer to Lower Level of Care,True,Dr. Eddie Young,Aaron Peterson,Female,65+,A-,Private,016605366085,"Andreas-Reising-Ring 7
09113 Holzminden","Scientist, forensic","Kevin Padilla, 015377566509."
VDW553055,2017-03-08,PTV969382,Orthopedic/ Musculoskeletal,Fracture,Durable Medical Equipment,CPM Machine,False,Dr. Alexandria Gaines,Megan Singleton,Female,51-64,O-,F425295560,015902554260,"Grafplatz 7
87300 Chemnitz",Bookseller,"Travis Garcia, 017440299415."
VNG740027,2017-03-08,PQZ752076,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Alexandria Gaines,Tammy Ritter,Male,51-64,A+,P862199845,015776070846,"Metzring 71
43074 Hohenmölsen","Administrator, sports","Amy Wilkinson, 015557992616."
VTP344827,2017-03-09,PPE010281,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. Jerry Daniels,Arthur Robles,Male,51-64,O-,E706460112,016119987526,"Wähnerallee 1
06204 Neustadtner Waldnaab","Engineer, chemical","Margaret Smith, 015492208054."
VEP552458,2017-03-09,POC643607,Respiratory System,Sleep Apnea,Durable Medical Equipment,C-Pap Machine,False,Dr. James Barber,Marie Ortiz,Male,51-64,O+,A571203132,017399825610,"Matthäistr. 097
35049 Quedlinburg",Hydrogeologist,"Courtney Cole, 015960275851."
VXJ899248,2017-03-09,PSL279224,Mental,Depression,Diagnostic/Physician Evaluation,Referral out of Medical Group,False,Dr. Michelle Lamb,Bobby Scott,Female,41-50,B-,O275835317,016683574634,"Madeleine-Hartmann-Ring 087
68548 Angermünde","Engineer, biomedical","Yesenia Coleman, 017278134686."
VJQ402350,2017-03-09,PCU264391,Cancer,Prostate Cancer,Cancer Treatment,Out-of-Network/Academic Center Referral,True,Dr. James Barber,Vanessa Simmons,Male,51-64,O-,N172067575,015557200057,"Micha-Röhrdanz-Straße 213
08515 Senftenberg","Programmer, multimedia","Audrey Villarreal, 016517733979."
VOP133139,2017-03-09,PME652664,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Non-FDA Approved Use,True,Dr. James Barber,Connie Williams,Male,31-40,AB-,Y472309837,015102760856,"Nelly-Gude-Weg 62
34618 Auerbach",Media planner,"Kimberly Lamb, 017151570344."
VHV540530,2017-03-09,PFP135863,Central Nervous System/ Neuromuscular,Headache/Migraine,Pharmacy/Prescription Drugs,Analgesics,False,Dr. James Barber,Melissa Moore,Male,31-40,B-,B144250035,016174058144,"Herbert-Mühle-Allee 5
94604 Wiedenbrück",Radiation protection practitioner,"James Powell, 017973665584."
VIL080272,2017-03-09,PPO661790,Prevention/Good Health,,"Diagnostic Imaging, Screening and Testing",Mammography,True,Dr. Michelle Lamb,Brittney Harrison,Female,51-64,O+,Private,017630366660,"Gottfried-Köster-Straße 24
26318 Sangerhausen",Arts development officer,"Jesse Moyer, 016897865791."
VPE208762,2017-03-09,PQI170980,Mental,Depression - Severe,Mental Health Treatment,Psychotherapy,True,Dr. James Barber,Angela Graham,Male,21-30,AB+,W814672562,016339674792,"Blümelweg 111
39581 Weißwasser",Learning mentor,"Phillip Watson, 015611602426."
VPW719955,2017-03-09,PRD685966,Cancer,Skin Cancer,Diagnostic/Physician Evaluation,Specialty Consultation Referral,True,Dr. Michelle Lamb,Mark Byrd,Female,31-40,B+,R952976992,016463878202,"Enno-Otto-Allee 1
46366 Mellrichstadt",Furniture conservator/restorer,"Carol Pham, 016660506795."
VRV362156,2017-03-09,PAG559893,Blood Related,,Pharmacy/Prescription Drugs,Non-FDA Approved Use,False,Dr. James Barber,Mr. Zachary Green,Male,65+,A-,M866141906,016945442026,"Ladeckstraße 5
62057 Eisleben",Technical sales engineer,"Sean Jones, 016233049714."
VRS202025,2017-03-09,PWH929251,Vision,Cataracts,Ophthalmology,Cataract Surgery,False,Dr. Shelly Hunt,Renee Cruz,Male,51-64,AB-,Y833570511,016828364418,"Nurettin-Finke-Allee 10
35169 Viersen","Editor, commissioning","Colleen Maxwell, 017767492203."
VTM338493,2017-03-09,PBN488954,Cardiac/Circulatory,Myocardial Infarction - MI,"Diagnostic Imaging, Screening and Testing",CT Scan,False,Dr. Shelly Hunt,Cody Carpenter,Male,51-64,AB+,W720918648,015210588122,"Schmidtkeallee 53
54913 Siegen",Tourism officer,"Michelle Graham, 017438105819."
VOS060128,2017-03-09,PPC766855,OB-Gyn/ Pregnancy,Fibroids,OB/GYN Procedures,Hysterectomy,True,Dr. James Barber,Julia Lloyd,Other,0-10,A+,N642976631,016844110745,"Kirstin-Gieß-Straße 549
86616 Waldmünchen","Buyer, retail","Adam Harrell, 017582391116."
VQD618025,2017-03-09,PRV389294,Central Nervous System/ Neuromuscular,Headache/Migraine,Acute Medical Services - Outpatient,Emergency Room,True,Dr. Shelly Hunt,Patricia Bailey,Female,31-40,O-,P194945327,016241537919,"Martin-Franke-Allee 9/5
77718 Dinslaken",Mechanical engineer,"Michael Perez, 016199943649."
VYO069850,2017-03-09,PIU571326,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Alcohol Rehabilitation Program,False,Dr. Alexandria Gaines,Jordan Ingram DDS,Male,65+,A+,O884794398,015467517403,"Gumprichring 97
68155 Erfurt","Accountant, chartered management","Susan Freeman, 015645418721."
VUT522830,2017-03-09,PPV655298,Digestive System/ Gastrointestinal,Irritable Bowel Syndrome,Diagnostic/Physician Evaluation,Out-Of-Network Referral,True,Dr. Jerry Daniels,Christine Ellison,Female,41-50,AB+,L145563505,015054820252,"Annamaria-Kramer-Ring 96
31359 Riesa",Glass blower/designer,"Sheena Russo, 015080279421."
VSX849585,2017-03-09,PBY057966,Not Applicable,,Rehabilitation Services - Outpatient,Physical Therapy,True,Dr. Jerry Daniels,John Young,Male,65+,AB+,N887280491,016146262741,"Herma-Mentzel-Allee 1
22673 Kamenz","Engineer, water","Carlos Beck, 015612119672."
VQD554046,2017-03-09,PKH472376,Mental,Depression,"Diagnostic Imaging, Screening and Testing",Lab Work,True,Dr. Alexandria Gaines,Barbara Collins,Female,31-40,B+,A141902635,015259682144,"Hans-Günther-Vogt-Straße 05
54350 Saulgau",Environmental consultant,"Charles Reed, 017401387891."
VCA834171,2017-03-10,PRY059985,Mental,Depression - Severe,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Jerry Daniels,Kevin Davidson,Female,10-20,O-,B382897170,016683544409,"Cläre-Löwer-Ring 297
98605 Gießen",Intelligence analyst,"Joseph Kim, 015899535637."
VZO197452,2017-03-10,PLJ620114,Mental,,Diagnostic/Physician Evaluation,Specialty Consultation Referral,False,Dr. Eddie Young,Jane Nunez,Male,10-20,A+,E356475727,017331446495,"Haufferring 2/5
05363 Bischofswerda","Engineer, structural","Brian Martin, 017595374712."
VUG466457,2017-03-10,PYD227877,"Ears, Nose, Throat",,Acute Medical Services - Outpatient,Emergency Room,True,Dr. Alexandria Gaines,Tyler Thomas,Male,10-20,AB+,J899286277,015769357600,"Kensyring 7
60582 Querfurt",Sports therapist,"Robert Holmes, 017940549564."
VHH153729,2017-03-10,PBI688188,Orthopedic/ Musculoskeletal,TMJ - Temporal Mandibular Joint,Alternative Treatment,Biofeedback,False,Dr. James Barber,Angela Herring,Male,41-50,O-,W180263402,015689464810,"Gilbert-Austermühle-Weg 9/4
00866 Guben",Fitness centre manager,"Cheryl Meza, 017753621793."
VQF749841,2017-03-10,PDE021714,Respiratory System,Shortness of Breath,Acute Medical Services - Outpatient,Emergency Room,True,Dr. James Barber,Brian Barnes,Male,21-30,AB+,S633655347,017127884634,"Scholtzallee 6
06131 Euskirchen",Information systems manager,"Anne Miller, 016541480088."
VZL167095,2017-03-10,PDS338426,Orthopedic/ Musculoskeletal,Back Pain,Chiropractic,Pain Management,False,Dr. Alexandria Gaines,Vicki Payne,Male,31-40,AB-,Y767209076,015417509116,"Ingo-Häring-Ring 08
39036 Hofgeismar",Astronomer,"Jason Mcdonald, 016633434844."
VLE382720,2017-03-10,PCS549554,Mental,Bipolar Disorder,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Shelly Hunt,Toni Evans,Female,10-20,AB-,P915048493,017138894452,"Jähnplatz 079
57954 Kehl","Engineer, site","Michael Melendez, 017928979866."
VCN009773,2017-03-10,PCD277464,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. Shelly Hunt,Gregory Gonzalez,Male,51-64,O-,X610806584,015292591691,"Dörrgasse 393
88034 Bad Liebenwerda",Education administrator,"Lisa Wright, 017232354900."
VMC855543,2017-03-10,PNW075695,Mental,Schizophrenia,Mental Health Treatment,Acute Psychiatric Facility Admission,True,Dr. Alexandria Gaines,Monica Smith,Male,21-30,B-,M341110528,016411775377,"Janko-Benthin-Allee 0/0
51261 Ribnitz-Damgarten",Quantity surveyor,"Mrs. Jessica Lopez, 017506433674."
VER579704,2017-03-10,PJL184150,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,False,Dr. Eddie Young,Alexander Black,Male,0-10,O-,Private,016371935151,"Klaus Dieter-Gumprich-Allee 150
06548 Bruchsal",Farm manager,"Tammy Henry, 015266066312."
VCL658954,2017-03-10,PVH566180,Morbid Obesity,Hypertension,General Surgery,,True,Dr. James Barber,Robert Torres,Male,31-40,AB+,D299938943,016586251879,"Gisela-Kaul-Platz 5/7
39186 München","Presenter, broadcasting","Adam Crawford, 015771540472."
VOU211480,2017-03-10,PWW772268,Mental,,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Shelly Hunt,Susan Torres,Female,51-64,AB-,W325369833,017425541116,"Eberhardtstr. 8/8
45072 Hannoversch Münden","Engineer, building services","Joseph Wright, 017718951120."
VAL140151,2017-03-10,PQZ039540,OB-Gyn/ Pregnancy,Ovarian Cyst,Diagnostic/Physician Evaluation,Specialty Consultation Referral,False,Dr. Eddie Young,Nicholas Ferguson,Female,21-30,AB+,T911157883,015538813047,"Ruppertstraße 2
64843 Günzburg",Housing manager/officer,"Stephen Harris, 017993575324."
VMT064112,2017-03-10,PXA510472,Blood Related,Anemia,"Diagnostic Imaging, Screening and Testing",Colonoscopy/Sigmoidoscopy,True,Dr. Jerry Daniels,Brett Young,Female,51-64,A+,K334545711,017745401065,"Jacobstraße 599
31289 Teterow","Therapist, sports","Danny Hicks, 016725985592."
